,SkilledHealthStaffInPercOfTotal,beds_per_1000,Women_Political_Empowerment,Democracy_Index,Public_health_spending,GDP_per_capita,GINI,Capacity,Maternal_mortality_ratio,Population,birthRatePer1000population
TUV,,,,,85.0,4466.12034928245,,,,10751.0,24.927
TZA,,0.43,0.821,0.332,38.0,1023.10626220703,40.5,0.3501999974250793,266.82196,57437145.0,37.335
UGA,,,0.764,0.221,17.0,792.16570022814,,0.2824000120162964,283.32196,41565831.0,37.673
UKR,,6.79,0.824,0.245,47.0,3059.0517578125,26.1,0.508899987,11.274244,45208907.0,8.125
URY,100.0,2.49,0.901,0.839,69.0,19249.9401532664,39.7,1.3389999866485596,18.063942,3394534.0,11.687
USA,99.1,2.78,0.907,0.742,51.0,63201.0458483771,41.4,1.909999966621399,19.452078,326838199.0,11.6
UZB,100.0,4.73,0.571,0.066,38.0,1813.08530813664,,-0.111500002,30.710342,32373490.0,24.007
VCT,,,,,66.0,8428.12677153069,,,59.866055,104926.0,13.678
VEN,98.7,1.09,0.756,0.064,52.0,,,0.01461,179.33174,29807592.0,17.33
VGB,,,,,,,,,,34657.0,6.982
VIR,,,,,,36663.2087550584,,,,107001.0,12.6
VNM,,,0.734,0.116,42.0,3222.31003125366,35.7,0.6480000019073486,51.061047,96237319.0,15.438
VUT,,,0.636,0.67,62.0,3206.68930842127,,,96.58236,285259.0,31.429
WSM,,,,,77.0,4231.81409469194,,,58.08098,207582.0,28.488
XKX,,,0.748,0.471,,4384.18624084947,,-0.305999994,,1797086.0,12.736
YEM,,,0.153,0.034,9.0,633.887206000087,,-0.845200002,175.63083,34085182.0,36.046
ZAF,,,0.864,0.639,57.0,6914.1780318076,,0.826699972,125.39751,58613001.0,19.85
ZMB,80.4,,0.77,0.294,44.0,1463.89997855593,,0.356900006532669,144.87115,17973569.0,35.464
ZWE,,,0.79,0.211,34.0,2271.8533351306,,0.2653999924659729,358.5035,15034452.0,31.327
